🙂,🙂,맛있어요 
따뜻하게 구워져 나오는 빵에 알차게 꽉찬 야채와 아보카도 덕분에 기분전환하며 맛있는 한끼 든든하게 채웠습니다 ^^,사장님 너무 친절하시네요~! 샐러드 양 많고 토핑이 알차서 배불러요 식단하기 좋은 곳👍,친절해요~~^^
전국 주꾸미 집중에서 가장 크고 고급지다고 하면 맞겠습니다 주차장 넓고 대기실은 웬만한 가게보다 큽니다 여기에 가면 흑돼지와 함께 쭈꾸미를 볶아 주는 반달 세트를 주문해서 먹었습니다 주꾸미보다 먼저 제공되는들기름 막국수와 묵사발 100 프로 메밀면의 위력이 상당히 좋습니다특히 추가로 시키는 고기만두는 바삭바삭하고 아주 맛있습니다 속이 알차고 깔끔한 것 같습니다 먹고 있으면 솥밥이 나옵니다 솥밥에서 밥을 덜어 내 어서 쭈꾸미와 여러가지 반찬들을 넣고 비벼서 먹고 누룽지로 마무리합니다 하남을 지나갈 때면 꼭 생각나는 곳입니다오늘은  스크린 골프를 치고  저녁먹으러 일행들과 방문했습니다 오늘도 잘 먹었습니다,맛(5.0/5.0)n번째 방문합니다. 쭈꾸미가 양이 많고 실해요. 양념은 불맛 가득하고 맵지만 손이 계속 가는 맛이에요. 밑반찬도 너무 맛있구 특히 곤드레솥밥에 비벼먹는게 일품입니다.서비스매장도 넓고 직원분들도 바쁜 와중에 하나같이 다 친절하세요.,굿
좋아요 ,좋아요 ,돈까스도 우동도 맛있네요! 간단히 먹고 싶을때 자고 오려구요~
음식 맛있고 매장 깔끔합니다! 찌개가 굳이네요 🌿🌿 다음에또올게요ㅎㅎ,음식 맛있고 매장 깔끔합니다! 찌개가 굳이네요 🌿🌿 다음에또올게요ㅎㅎ,고기도 맛있고 저렴해서 좋아요
맛있어용,잘먹었습니당,굿입니다요
소주한잔하려고 늦게왔는데도 친절히응대해주시구 피자는 뭐두말할것도없이 너무너무맛있습니당#피자하우스 미사스마트밸리점 최고입니다 주차도 무제한입니당 소주랑맥주하이볼다팔아용 피자는 꼭 치즈크러스트로  추가해서드세용ㅎㅎㅎ추천추천,갑자기 로마식 핏자가 먹고싶어서 급하게 찾은 곳인데 보물을 찾은 것 같습니다.. 정말 너무 맛있어요  피자며 스파게티며 핫윙이며 특히 핫윙 진짜 너무 맛있어서 놀랐어요 2층에 앉았는데 시스템도 굉장히 재밌습니다 재방문 의사 무조건 있는 곳입니다,갈수록 계란의 양이 주는거 같은건...... 생겼을때부터 먹어서 아는 제 탓이겠죠?  가격은 오르는거 같은데 재료는 적어지는거 같아서 너무 아쉽습니다~
맛있게 먹었어유 💙,임가네부대찌개에 라면사리 대신 당면사리 추가했어요~배부르게 잘 먹었어요,주워에서  하도 맛있다하여  포장해서 먹었는데  맛있구만요 뇨끼바질피자에  치즈 추가해서  33.800원
전부터 가봐야지~~했었는데 드뎌방문!!첨에 두루치기랑 손두부 시켰는데 와~~  너무맛있어요.두루치기양념도 맛있고 두부랑 같이나오는  겉절이? 도 바로 해주시는듯 넘 맛있고 신선했어요.검색해보니 닭요리 전문이라해서 후라이드도주문했는데 한입먹자마자 다들 웃음터짐 ~😁담엔 닭도리탕 먹으러 갈께요!!!여려명이 가서 이것저것 다 시켜야겠어요ㅋ,닭도리매운탕이 완전 베스트라고 하길래먹어봤는데 역시나 맛있네요!닭도리탕과는 다른 국물이많은 닭도리매운탕인데국물이 칼칼하니 요즘같은 날씨에 딱 어울리는 맛이에요안에 당면도 들어있는데 정말 너무 마싯어요 끓일수록 진한 국물을 맛볼 수 있구용다 먹고 볶음밥으로 마무릐! 존맛도뤼입니다용,역시 신전은 떡볶이에 오뎅튀김임👍
곱창전골  양도 많고 맛있어요,맛잇어요순대야채곱창도 맛있고 곱창전골도 맛있어용!!,직접 빚은 김치만두가 킬포에요. 만두소가 꽉 차있고 만두피가 적당히 두꺼워서 진짜 맛있었어요. 전골 2인분에 김치만두가 8개나 들어가있어서 양도 푸짐했구요.만두 먼저 건져먹고 고기낀지 넣어 신선한 야채와 같이 먹으며 샤브샤브까지 즐길 수 있으니 구성이 정말 알찬 느낌이었어요. 거기에 죽까지 해서 먹으니 진짜 건강하고 푸짐한 식사가 완성되었던것같아요. 조만간 또 방문할께요!
규카츠를 좋아하는데 미사에서 먹을 수 있어서 좋아요! 기린 생맥도 완전 추천합니다^^ 아이랑 먹기 좋아서 자주 올게요!,음식 맛있어요~~내가원하는만큼 구워먹을수있어서 좋아요~~매장도 깔끔하고 좋네요~~~,깔끔하게 운영되고 있네요
너무 완벽했다망월동 감성 이자카야 술집 사심i는 맛도 분위기도 친절함도 모든게 최고제철 식재료로 여러가지 맛있는 요리를사심i는 스몰디쉬라는 아주 합리적인 가격으로맛볼 수 있는 기회가 흔치않아서 좋았던 것 같아요장점만 가득했던 베스트 맛집이였어요연인들끼리 분위기 좋은 데이트장소로도 좋고친구들과 와서 가볍게 한잔 하기도 좋고접대하기도 좋고 나에게 주는 보상처럼 혼술하기도 좋은맛도 분위기도 최고의 미사 이자카야 사심i선택은 필수~~~또또또 가야할 맛집 술집입니다,너무 완벽했다망월동 감성 이자카야 술집 사심i는 맛도 분위기도 친절함도 모든게 최고제철 식재료로 여러가지 맛있는 요리를사심i는 스몰디쉬라는 아주 합리적인 가격으로맛볼 수 있는 기회가 흔치않아서 좋았던 것 같아요장점만 가득했던 베스트 맛집이였어요연인들끼리 분위기 좋은 데이트장소로도 좋고친구들과 와서 가볍게 한잔 하기도 좋고접대하기도 좋고 나에게 주는 보상처럼 혼술하기도 좋은맛도 분위기도 최고의 미사 이자카야 사심i선택은 필수~~~또또또 가야할 맛집 술집입니다,좋아요 
세븐틴 콘서트 보러 왔어요 hdmi선으로 간단하게 연결해서 볼 수 있었어요 지금까지 파티룸도 많이 가봤는데 여기가 제일 음질도 좋고 좌석도 편해요 집중해서 볼 수 있어서 정말 좋았어요 직원분들도 친절하시고 팝콘 나초 세트도 가성비 짱이에요!! 배달음식이 안되긴 히지만 그래서 오히려 음식냄새 없이 쾌적하게 유지될 수 있는 것 같아요!!! 다음에 또 오겠습니다 다음에는 영화 보러올게요,콘서트 라이브로 보려고 대관했어요. 화면과 온라인 연결이슈로 제대로  못볼뻔 했지만 친절하신 사장님 덕분에 무사히 잘 볼수 있었습니다.😭(다시 한번 감사드려요😭😭)팝콘도 생각보다 맛있어서 놀랐구요.주차도 4시간 무료라 좋았습니다.프라이빗하게 볼수 있었던점이 가장큰 장점이었어요^^,오마카세 코스로 갔고 18가지 정도 나왔어요🫢 마지막에 가라아게도 주셨는데 올릴 수 있는게 20장 뿐이라 패스 여자직원분 넘넘 친절하시구 동네라 크게 기대 안하고 갔던건데 코스 종류가 생각보다 다양해서 놀랐어요! 가볍게 술 한 잔 하면서 먹기 넘 좋습니당💖 그리고 일단 뷰가 짱짱이에요 바에서 도란도란 얘기하면서 먹으니까 아쥬 행복했어요🍀 잘먹었습니다💕
조아요,조아요,굿
안주 퀄리티 무엇..🥹 한식 퓨전 술집이라 밥되는 든든한 메뉴들이 있어 너무 좋았어요 !! 선비다이닝 이라는 이름이랑 완전 찰떡ㅋㅋ 3가지 메뉴 주문했는데 다 맛있어서 깜짝 놀랐고 매장도 넓고 쾌적하네용! 대형 스크린 있어서 축구나 야구 볼 때 가도 좋을 것 같아요 :) 술집에서 이렇게 싹쓰리한거 첨인듯..😋 미사 신상 맛집으로 인정입니당👍🏻👍🏻,인테리어가 예쁘고 분위기가 좋아서 데이트하기 좋아요!음식이 맛있고 양도 많고 음식이 다양하게 준비 되어있어서 방문하기 좋은 미사 맛집이에요!!!*본 업체에서 서비스를 제공받아 작성된 글입니다*,주싸롱 분위기도 좋고 맛도 좋고 사장님도  유쾌하세요 신장동에 맛집이 생겨서 너무 좋아요  퇴근후 같이 일하는 동생들하고 메뉴 하나씩 뽀개기했는데 다 맛있었어요 특히 사장님이 개발했다는 물뱅이 요거요거 완전 요물~~~ 골뱅이가 든 물회버젼인듯해요 국물까지 싹싹 소면은 재추가 할정도 션하고 맛있었어요 하이볼도 다양해서 이것저것 시켜보는 재미도 있어요 신장동 술집중에 최고가 되길 바래요 가던곳만 가는것도 이제 지침요 😆 하남구도심에 요로콤 괜찮은 술집이 생겨서 기부니가 좋아서 막 달렸네요 감자채전도 바삭하고 똥집볶음도 쫄깃쫄깃 감바스도 맛있고 또 마지막에 바지락술집으로 마무으리~~~~~~~서비스로 주신 파인애플셔벗도 맛있게 냠냠했어용
홀 케익을 두번째 주문해봤는데요 주문할때마다 이가격이 이 퀄리티?!라는생각이 늘 들어요 정말 맛이며 모양이며감동 그 자체입니다 :) 사장님도 너무 친절하시고 센스도 좋으시고 또 서비스덕에 양손 무거웠습니다 ㅎㅎ 오빠티쉐덕에 더 즐거운 파티였습니다 :) ,직장 근무지 근처인데 거의 전용 커피숍처럼 애용하고 있습니다. ㅎㅎㅎ 케이크도 맛있고 커피도 맛있어요. 텀블러 6-7개 들고 가도 금새 만들어주시고요. 오래오래 사업이 잘 되셨으면 좋겠어요. 친절은 기본입니다. ㅎㅎㅎㅎ,라구가지셀러드 너무 맛있었어요. 라구 소스 너무 잘 만드시는듯해여~명란하고 까르보나라 파스트 시켰는데 파스타는 둘다 저희 입맛에 너무  짰어요ㅠ테이블이 몇개 없어서 조용하고 분위기 좋아요
가성비갑으로 맛있고 푸짐한  점심 한끼 만족스럽네요 깨끗하고 알찬구성 잘먹었습니다,미사강변 맛집이죠!!스카이폴리스 1층에 위치하고 있고요항상 다양한 반찬이 있고 고정된 김치양배추샐러드오징어젓마늘짱아찌 떡볶이등등그리고 매일 바뀌는 음식들!! 너무 맛있고 알찹니다.손님들의 목소리에도 항상 귀 기울이는 모습이 보이는 식당입니다.붐비는 시간대는 12시 점심시간부터 1시까지 였구요 11시30분 정도 1시 이후에는 크게 붐비지 않고 식사 할 수 있습니다.강추하는 식당입니다.,깐쇼새우 등  중국요리 맛집 ~
2번째 방문이지만 여전히 음식은 맛있습니다1번째 왔을때 정말 친절했던 사장님은 쉬는 날인가봐요맛있던 음식과 반대로정말 불친절하신 홀 담당자님 덕분에안타까웠습니다뭐가 그리 불편하여 모든 손님께 무안을 주시는지..주차 잘못했다고 무안하게 핀잔을 주시거나주문이 밀려 대기시간을 설명할때도거의 쫓는듯한 말투로 나이든 손님을 보내며자랑스럽게 "보냈어~"라고 자랑하고주문을 하던 남은거 포장을 하던 선풍기를 돌려달라고 부탁을 하건계속 무안을 주시는 홀담당자님 덕분에계속 신경 쓰였습니다음식은 참 맛있는데 안타깝습니다,굿,원래 불고기 싫어해서 불고기 들어간 콤비는 한번도 안먹다가 다른 메뉴 다 먹어본김에 한번 도전해봤는데 진심 맛있습니다. 불고기 땜에 계속 걸렀으면 후회할뻔... 이제 콤비도 믿고 계속 먹어야겠네요. 역시 호미스 갓갓
닭날개 맛집 찾았어용 ㅜㅠ 소스찍먹하니 순삭!!맥주안주로 쵝오에용 ㅎㅎ,다양한 지점 생마차 중에 미사점을 방문했는데요!미사점이 사장님이 재밌으시고 친절하게 대해주셔서 더욱 맛있게 즐겼습니다! 번창하세요 !!,넘 맛있음! 항상 깨끗하고 맛있게 유지되었으면
일단 인테리어가 예쁘고 직원분들이 친절하셔서 먹는 내내 기분이 좋았고요 돈까스 바삭하고 안느끼하고 덮밥 양념 너무 맛있고재료도 신선했어요 동네로 지인 오면 무조건 데려가고싶은 집이네요,새로 생긴곳 같은데 런치세트로  냉모밀 돈가스세트 랑 냉모밀 초밥세트 시켰는데 괜찮았어요;) 모밀 육수도 진하고 돈가스도 괜찮았고 초밥도 두툼하고 굿굿~입니당,두번째 방문입니다 주차해놓고 올라오는데 해물냄새가 식욕을 돋구네요. 오늘은 얼큰한 장칼국수 시켜봤어요 해장으로 너무 좋겠어요. 여름엔 콩국수 맛있게 먹었는데 추워지면 얼큰도 많이 먹겠어요 또 올게요!
굿,다른 케이크 없어서 못먹었지만 레몬 케이크 크기도 적당하고 상큼한데 촉촉해서 맛있게 잘 먹었어요,우리가족이 제일 좋아하는 우리동네 최고 맛집이에요일단 여기가 제주인지 미사인지 모를정도로 초록초록 예쁜 인테리어와 기본으로 나오는 김치찌개에이미 밥 한공기 뚝딱이구요 (애들도 잘먹어요)냄새부터 예술인 특삼겹살은 말모 그냥 👍거기에 고사리 떡 김치랑 같이 구워 잡수면둘이먹다 셋이 죽어도 모를 맛이에요 마무리는 양은메밀냉국수 로 우리 4인가족시원하게 마무으리 합니다!! 오늘도 참 잘 먹었습니다~ 사장님 💙
바닐라라떼가 아닌 바닐라빈라떼는 처음 먹어봤는데 그 풍미가 진짜 다르네요 바닐라향이 아닌 빈의 맛이 깊고 진해서 정말 맛있었습니다  매장도 밖에서 보는 것보다 훨씬 넓네요 다음에 안에서 먹어봐야겠어요,원두 좋은거 쓰시는듯. 커피 맛있어요.,가게 내부 인테리어가 너무 이쁘고요 친구가족들과 외식하기 좋은 분위기에요!!고기 양도 많은데 질도 너무 좋네요! 먹을수록 고기 풍미도 최고입니다!하이볼도 비율을 잘타셨는지 진짜 술술 들어갔고요 고기랑도 너무 잘어울리는 술이에요👍직원분들도 너무 친절하시고 더 대박 났음 좋겠어요!제가 요즘 가본 맛집 중 베스트1 입니다!하남 소고기 맛집!! 입니다~!!
가성비가 좋은 포차네요. 안주가 맛있으나 간이 쎈편. 잔치국수 맛있는데 싱겁게 먹는 편이라 뜨거운 물을 조금 추가해 먹었습니다. 오늘은 날이 쌀쌀해서 뜨거운물 부으니  뜨끈해서 술안주로 먹기 오히려 좋았다고 해야하나 ㅎ 다담주 친구들과 약속때 다시 한번 오려구요. 매장도 크고 깔끔하고 안주도 부담없는 가격이라 모임하기도 좋을거 같아요. 꿀막걸리는 맛있음ㅡ조금 더 시원하면 두배는 더 맛있을꺼 같아요. ,치즈콘마요빠삭파전 달달하고 맛있어요~숯불무뼈닭발은 양은 적었지만 매콤하고 청하랑 잘어울렸어요~~한라봉하이볼은 술맛이 안났어요~그래서  청하로 변경... 마지막에 허니갈릭 감자튀김까지 먹고 나왔어요~ 한잔하기 괜찮은 곳이에요~(근데 테이블에서 불쾌한 냄새가 좀 나서 물티슈로 두번이나 닦았답니다^^;;;) ,맛있어요
